# Intentional TDD-red DRIVERS. Three TAB-separated fields:
#
#   <driver-name>	<tracking-issue-url>	<yyyy-mm-dd added>
#
# <driver-name> is the name precommit/run-suite.sh prints in its own
# VERDICT line (VERDICT<TAB><name><TAB><PASS|RED|FAIL>) — one row per name
# actually emitted there, at whatever granularity that script uses (a whole
# battery in this repo, e.g. `s1-tests`/`bench`; split finer only where
# there's a reason to, e.g. `s5-ctx-api` vs `s5-other`). precommit/gate.sh
# refuses a row naming a reserved tier keyword (full/affected/hermetic,
# never real driver names), a row whose tracking issue is CLOSED, and a row
# older than the staleness horizon (MOJITO_GATE_RED_MAX_AGE_DAYS, default
# 30).
#
# Remove the row the moment the driver goes green. An unlisted failing
# driver blocks the commit.
#
# History (issue mojito-async/mojito-async#169): this file used to be
# matched by a bare `grep`, two fields, no validation at all. Two of its
# rows were rot: `s5-tests` pointed at mojito-sys#67, which closed the
# moment PR #118 merged the very api-mojo lane that row was still masking
# (that lane is genuinely red today, split out below as `s5-ctx-api`,
# since #67 covers work that DID land). That lane is now tracked by #142,
# the context issue that rebuilds the same `@export` dispatch and owns
# fixing it.
# `s6-completion-probe` pointed at a different closed issue (#77) and
# matched no check name printed by anything in this tree, so it shielded
# nothing while looking like a legitimate row — removed outright, no
# replacement needed.
s5-ctx-api	https://github.com/mojito-async/mojito-sys/issues/142	2026-08-30
# `make bench` crashes intermittently (SIGTRAP inside Mojo's own
# libKGENCompilerRTShared.dylib during the sampled-latency phase, ~2 of 3
# runs when its stdout is captured, as the gate always does). A genuine
# toolchain flake, not a code defect here. The flake protocol issue #169
# sets out is an issue plus a dated row, never `--no-verify`. Tracked by
# #129, which owns the paired benchmark harness this crashes inside.
bench	https://github.com/mojito-async/mojito-sys/issues/129	2026-08-30
# `s3-other` fails the blocking macOS lane for a reason that has nothing to
# do with this branch: S3 is the sync-primitive battery (semaphore, condvar,
# atomic-wait), and #192 was filed against it before this spike existed. It
# also notes the gate only ever tails the combined transcript, so CI never
# prints which S3 check actually broke. Rowed here so an unrelated red stops
# blocking every other PR in the queue; #192 owns diagnosing and fixing it,
# and this row comes straight back out when it does.
s3-other	https://github.com/mojito-async/mojito-sys/issues/192	2026-08-31
